Subject,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0002,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0004,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0008,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017,CNSU_0017
CoVarianceScalar,0,0,0,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0.3,0.3,0.3,1,1,1,0,0,0,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0.3,0.3,0.3,1,1,1,0,0,0,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0.3,0.3,0.3,1,1,1,0,0,0,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0.3,0.3,0.3,1,1,1
NTrials,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.35,2,0,3,2,0,1,3,2,2,3,2,3,2,5,4,4,5,8,0,6,2,1,2,6,2,3,7,1,1,1,3,4,2,1,5,2,2,2,5,3,0,1,0,0,2,2,4,1,2,3,2,2,7,4,1,3,2,3,2,3,5,5,1,5,2,5,3,4,7,4,6,8
0.36,5,2,1,1,0,2,4,4,0,3,3,7,8,4,6,8,8,9,3,3,4,6,4,2,6,9,6,4,1,5,5,4,6,2,7,2,4,1,6,3,2,1,0,1,2,3,2,2,4,5,4,3,7,2,4,4,5,4,4,5,4,3,5,4,6,6,4,9,9,5,6,9
0.37,3,4,4,6,3,2,9,5,3,10,3,8,9,8,8,4,8,7,5,8,9,3,4,4,4,5,2,6,9,8,5,6,7,8,10,9,4,8,7,3,4,6,6,8,2,8,7,7,6,7,11,7,9,8,2,4,7,4,4,6,12,7,8,8,9,8,12,8,8,10,10,9
0.38,5,7,5,7,8,13,8,6,7,10,9,14,9,12,14,11,14,14,9,11,8,7,7,10,7,6,11,9,6,11,7,12,12,10,9,13,6,11,8,7,7,8,7,6,7,8,6,9,15,6,10,11,5,10,8,8,9,6,10,11,10,6,6,12,13,15,12,11,15,15,19,15
0.39,13,9,5,6,12,9,14,8,12,12,11,10,17,15,10,15,15,13,6,12,7,9,6,10,11,14,11,12,12,11,12,13,11,16,12,15,13,17,9,9,13,14,12,12,7,12,9,15,8,13,12,13,13,11,13,9,12,10,12,12,8,13,13,15,13,12,17,12,16,13,10,13
0.4,15,10,15,20,14,15,12,16,20,12,14,16,19,18,17,12,13,13,15,21,15,15,17,12,18,15,19,14,19,14,14,16,18,19,14,15,17,13,12,15,17,12,16,14,16,19,16,12,10,16,16,16,15,14,14,16,19,19,16,16,14,19,18,14,15,15,18,15,17,13,12,13
0.41,12,18,17,16,20,17,20,16,19,15,16,15,21,19,16,20,20,19,21,20,21,23,18,18,20,17,18,20,19,19,14,18,17,15,20,22,15,15,17,20,24,19,18,20,20,17,16,16,22,20,19,18,21,18,18,15,12,18,14,18,16,21,18,20,19,16,21,24,16,16,17,19
0.42,21,19,20,21,23,21,18,17,15,22,20,21,18,16,19,22,19,21,26,20,21,24,17,21,26,19,22,24,19,17,21,22,20,15,21,19,21,21,18,21,25,22,21,17,20,20,22,22,23,21,20,24,16,21,25,24,22,25,20,19,20,17,19,20,22,18,17,23,22,17,19,21
0.43,24,27,25,23,16,20,20,26,20,22,16,25,20,19,20,19,17,19,25,24,23,25,24,21,22,23,23,19,23,24,24,20,24,25,22,23,24,23,21,22,21,26,27,23,20,21,18,24,23,27,20,21,22,19,28,27,22,27,21,24,19,19,25,22,23,21,21,22,20,19,18,19
0.44,27,24,21,26,25,24,22,22,26,26,26,25,20,22,20,24,24,23,30,26,27,28,27,29,24,25,25,27,28,25,26,27,23,27,27,24,27,26,25,27,24,29,27,27,28,29,22,24,22,27,25,24,18,28,24,28,27,27,29,26,23,26,26,24,26,22,23,25,22,25,24,22
0.45,26,29,28,28,25,28,21,24,23,24,25,29,25,24,26,26,22,21,29,25,28,29,29,28,28,27,28,27,29,27,25,25,23,26,26,26,26,27,28,27,28,27,25,26,27,28,23,28,29,26,27,27,27,27,30,26,28,30,29,26,26,27,22,25,25,25,26,24,23,24,23,23